id,input,type,meaning_en,native_script,alt_translation,variants/0,variants/1,variants/2,tokens/0,tokens/1,tokens/2,tokens/3,confidence,category,freq_rank,variants/3
141,kal scene kya hai 29,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.96,chat_phrase,141,
142,tu kidhar hai 29,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.95,chat_phrase,142,
143,main aa raha hu 29,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.84,chat_phrase,143,mainaarahahu
144,kya kar raha hai 29,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.85,chat_phrase,144,
145,jaldi aaja 29,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.86,chat_phrase,145,jaldiaaja
146,kal scene kya hai 30,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.94,chat_phrase,146,
147,tu kidhar hai 30,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.9,chat_phrase,147,
148,main aa raha hu 30,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.85,chat_phrase,148,mainaarahahu
149,kya kar raha hai 30,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.95,chat_phrase,149,
150,jaldi aaja 30,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.99,chat_phrase,150,jaldiaaja
151,kal scene kya hai 31,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.91,chat_phrase,151,
152,tu kidhar hai 31,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.85,chat_phrase,152,
153,main aa raha hu 31,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.88,chat_phrase,153,mainaarahahu
154,kya kar raha hai 31,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.88,chat_phrase,154,
155,jaldi aaja 31,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.91,chat_phrase,155,jaldiaaja
156,kal scene kya hai 32,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.94,chat_phrase,156,
157,tu kidhar hai 32,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.93,chat_phrase,157,
158,main aa raha hu 32,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.92,chat_phrase,158,mainaarahahu
159,kya kar raha hai 32,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.93,chat_phrase,159,
160,jaldi aaja 32,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.85,chat_phrase,160,jaldiaaja
161,kal scene kya hai 33,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.83,chat_phrase,161,
162,tu kidhar hai 33,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.97,chat_phrase,162,
163,main aa raha hu 33,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.87,chat_phrase,163,mainaarahahu
164,kya kar raha hai 33,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.85,chat_phrase,164,
165,jaldi aaja 33,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.9,chat_phrase,165,jaldiaaja
166,kal scene kya hai 34,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.95,chat_phrase,166,
167,tu kidhar hai 34,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.99,chat_phrase,167,
168,main aa raha hu 34,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.83,chat_phrase,168,mainaarahahu
169,kya kar raha hai 34,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.88,chat_phrase,169,
170,jaldi aaja 34,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.98,chat_phrase,170,jaldiaaja
171,kal scene kya hai 35,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.9,chat_phrase,171,
172,tu kidhar hai 35,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.85,chat_phrase,172,
173,main aa raha hu 35,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.98,chat_phrase,173,mainaarahahu
174,kya kar raha hai 35,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.9,chat_phrase,174,
175,jaldi aaja 35,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.97,chat_phrase,175,jaldiaaja
176,kal scene kya hai 36,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.86,chat_phrase,176,
177,tu kidhar hai 36,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.85,chat_phrase,177,
178,main aa raha hu 36,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.99,chat_phrase,178,mainaarahahu
179,kya kar raha hai 36,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.89,chat_phrase,179,
180,jaldi aaja 36,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.93,chat_phrase,180,jaldiaaja
181,kal scene kya hai 37,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.9,chat_phrase,181,
182,tu kidhar hai 37,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.9,chat_phrase,182,
183,main aa raha hu 37,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.96,chat_phrase,183,mainaarahahu
184,kya kar raha hai 37,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.97,chat_phrase,184,
185,jaldi aaja 37,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.97,chat_phrase,185,jaldiaaja
186,kal scene kya hai 38,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.89,chat_phrase,186,
187,tu kidhar hai 38,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.93,chat_phrase,187,
188,main aa raha hu 38,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.85,chat_phrase,188,mainaarahahu
189,kya kar raha hai 38,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.94,chat_phrase,189,
190,jaldi aaja 38,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.88,chat_phrase,190,jaldiaaja
191,kal scene kya hai 39,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.86,chat_phrase,191,
192,tu kidhar hai 39,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.91,chat_phrase,192,
193,main aa raha hu 39,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.92,chat_phrase,193,mainaarahahu
194,kya kar raha hai 39,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.97,chat_phrase,194,
195,jaldi aaja 39,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.95,chat_phrase,195,jaldiaaja
196,kal scene kya hai 40,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.83,chat_phrase,196,
197,tu kidhar hai 40,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.83,chat_phrase,197,
198,main aa raha hu 40,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.9,chat_phrase,198,mainaarahahu
199,kya kar raha hai 40,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.87,chat_phrase,199,
200,jaldi aaja 40,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.99,chat_phrase,200,jaldiaaja
201,kal scene kya hai 41,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.92,chat_phrase,201,
202,tu kidhar hai 41,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.97,chat_phrase,202,
203,main aa raha hu 41,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.94,chat_phrase,203,mainaarahahu
204,kya kar raha hai 41,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.84,chat_phrase,204,
205,jaldi aaja 41,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.91,chat_phrase,205,jaldiaaja
206,kal scene kya hai 42,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.98,chat_phrase,206,
207,tu kidhar hai 42,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.89,chat_phrase,207,
208,main aa raha hu 42,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.85,chat_phrase,208,mainaarahahu
209,kya kar raha hai 42,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.95,chat_phrase,209,
210,jaldi aaja 42,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.94,chat_phrase,210,jaldiaaja
211,kal scene kya hai 43,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.83,chat_phrase,211,
212,tu kidhar hai 43,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.83,chat_phrase,212,
213,main aa raha hu 43,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.83,chat_phrase,213,mainaarahahu
214,kya kar raha hai 43,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.94,chat_phrase,214,
215,jaldi aaja 43,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.83,chat_phrase,215,jaldiaaja
216,kal scene kya hai 44,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.84,chat_phrase,216,
217,tu kidhar hai 44,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.96,chat_phrase,217,
218,main aa raha hu 44,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.83,chat_phrase,218,mainaarahahu
219,kya kar raha hai 44,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.99,chat_phrase,219,
220,jaldi aaja 44,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.93,chat_phrase,220,jaldiaaja
221,kal scene kya hai 45,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.93,chat_phrase,221,
222,tu kidhar hai 45,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.9,chat_phrase,222,
223,main aa raha hu 45,hinglish,I am coming,मैं आ रहा हूँ,मी येतोय,maain aa raha hu,main aa raha hu,main a raha hu,main,aa,raha,hu,0.91,chat_phrase,223,mainaarahahu
224,kya kar raha hai 45,hinglish,what are you doing,क्या कर रहा है,काय करत आहेस,kya kar raha hai,kyakarrahahai,kyaa kar raha hai,kya,kar,raha,hai,0.87,chat_phrase,224,
225,jaldi aaja 45,hinglish,come quickly,जल्दी आजा,लवकर ये,jaaldi aaja,jaldi aja,jaldi aaja,jaldi,aaja,,,0.84,chat_phrase,225,jaldiaaja
226,kal scene kya hai 46,hinglish,what's the plan tomorrow,कल सीन क्या है,उद्या प्लॅन काय आहे,kalscenekyahai,kal scene kya hai,kaal scene kya hai,kal,scene,kya,hai,0.91,chat_phrase,226,
227,tu kidhar hai 46,hinglish,where are you,तू किधर है,तू कुठे आहेस,tu kidhar hai,tu kidhaar hai,tukidharhai,tu,kidhar,hai,,0.85,chat_phrase,227,
